id,question,content,url
/government/news/creative-sector-receives-record-boost-of-700-million-pounds,Should this be retagged from its current taxon to this suggested one?,"<h2 class='inline'>Creative sector receives record boost of £700 million pounds</h2><a class='inline' href='https://www.gov.uk/government/news/creative-sector-receives-record-boost-of-700-million-pounds' target='_blank'>Link to page</a><h4>Move from: Money</h4><h4>Move to: <p class='tab'>Money > Business tax > Business tax reform</p></h4><a class='tab' target='_blank' href='https://content-tagger.staging.publishing.service.gov.uk/taxons/12be2e2c-505b-412d-bff1-ba301465c116/tagged_content'>Other content tagged to it</a><h4>Currently tagged to</h4><p class='tab'>Money</p><h4>Description</h4><p>From TV Series ""The Crown"" to independent theatre productions and video games, the 2016-17 tax relief supported work across the UK's creative industries.</p><h4>Body</h4><p><div class=""govspeak""><p>Britain’s world-leading creative sector has benefited from over £700 million pounds of support from government in the last year, <a href=""https://www.gov.uk/government/statistics/creative-industries-statistics-july-2017"">official statistics</a> showed today.</p><br/><br/><p>The award-winning TV series “The Crown” and award-winning film “Lady Macbeth” are among the productions to have made use of the High-End TV and Film Tax Reliefs respectively.</p><br/><br/><p>Creative Sector Tax Reliefs were introduced to help UK businesses in these highly skilled and innovative sectors thrive at home and abroad.</p><br/><br/><p>This year marks the fifth anniversary of the government’s announcement to expand its support for the creative sector. The reliefs enhance the UK’s creative sector industries, including video games, animation and high-end television.</p><br/><br/><p>Mel Stride, Financial Secretary to the Treasury and Paymaster General said:</p><br/><br/><blockquote><br/>  <p>From film directors to video game developers, UK creative leaders are championing British culture and innovation both at home and abroad.</p><br/><br/>  <p>This tax relief provides vital support to our world-class creative industries as they continue to boost growth across the country and create top quality entertainment that we can all enjoy.</p><br/><br/>  <p class=""last-child"">The creative industries employ two million people across all parts of the UK. These tax reliefs are helping to ensure creative sector companies can continue to hire people and boost local economies.</p><br/></blockquote><br/><br/><p>Creative Industries Minister Matt Hancock said:</p><br/><br/><blockquote><br/>  <p class=""last-child"">The UK’s creative industries are one of our biggest success stories. They play a vital role in shaping the UK’s image and reputation at home and abroad, and through initiatives like the tax relief scheme, we are creating the right environment for this dynamic sector to flourish and thrive.</p><br/></blockquote><br/><br/><blockquote><br/>  <p class=""last-child"">Britain’s creative industries are growing faster than the rest of the economy and we want to keep it that way.</p><br/></blockquote><br/><br/><p>Amanda Nevill, CEO of BFI, commented:</p><br/><br/><blockquote><br/>  <p>Worth £4.3 billion to the economy, UK film is the country’s fastest growing sector, employing over 66,000 people.</p><br/><br/>  <p>The UK is one of the world’s most important production hubs and the tax reliefs for the screen industries have enabled this unprecedented growth across the country, creating jobs and supporting businesses from Belfast to Bradford.</p><br/><br/>  <p class=""last-child"">Vitally, they have also allowed creativity to flourish and our world class filmmaking talent to shine with productions from Trainspotting and Lady Macbeth through to Wonder Woman and Game of Thrones.</p><br/></blockquote><br/><br/><p>John McVay, Chief Executive of Pact, said:</p><br/><br/><blockquote><br/>  <p class=""last-child"">The creative sector tax relief has played an important part in attracting inward investment, and helping to grow the successful UK TV production industry, with benefits to all parts of the UK. It has helped our members stay competitive in an ever-growing global marketplace.</p><br/></blockquote><br/><br/><p>Over 2,070 films, 295 videogames and 205 high-end TV productions have benefited from the tax reliefs since their respective introductions. The figures also show for the first time that 1,750 theatres have benefited from the support available.</p><br/><br/><p>There are currently seven different reliefs available to the creative sector; film, high-end TV, animation, videogames, children’s TV, orchestra and theatre.</p><br/></div></p>",
/government/news/chancellor-to-waive-1-million-vat-on-tower-of-london-poppies,Should this be retagged from its current taxon to this suggested one?,"<h2 class='inline'>Chancellor to waive £1 million VAT on Tower of London poppies</h2><a class='inline' href='https://www.gov.uk/government/news/chancellor-to-waive-1-million-vat-on-tower-of-london-poppies' target='_blank'>Link to page</a><h4>Move from: Money</h4><h4>Move to: <p class='tab'>Money > Business tax</p></h4><a class='tab' target='_blank' href='https://content-tagger.staging.publishing.service.gov.uk/taxons/28262ae3-599c-4259-ae30-3c83a5ec02a1/tagged_content'>Other content tagged to it</a><h4>Currently tagged to</h4><p class='tab'>Money</p><h4>Description</h4><p>Government will donate amount equivalent to expected VAT receipts from sale of the poppies using some of LIBOR fines collected from banks.</p><h4>Body</h4><p><div class=""govspeak""><p>The Chancellor has today (Thursday 6 November) announced that the government will waive the expected VAT of up to £1.1 million from sales of the poppies used within the First World War commemorative installation, The Tower of London Remembers: Blood Swept Lands and Seas of Red, at The Tower of London.</p><br/><br/><p>Using some of the LIBOR fines collected from the banks, the government will donate an amount equivalent to the expected net VAT receipts from the sale of the poppies, which is £1.1 million, to six charities who provide valuable support to injured Armed Services personnel and their families.</p><br/><br/><p>The six charities that will benefit from today’s announcement are:</p><br/><br/><ul><br/>  <li><br/>    <p>Cobseo – a body that works to maximise the charitable support to the Armed Forces community through co-operation, co-ordination and collaboration of organisations working in the Service Charity sector</p><br/>  </li><br/>  <li>Combat Stress - the UK’s leading military charity specialising in the care of Veterans’ mental health, treating conditions including Post Traumatic Stress Disorder (PTSD), depression and anxiety</li><br/>  <li>Coming Home - the fundraising campaign for Haig Housing Trust, which provides specially adapted homes for seriously injured and disabled Servicemen and general needs housing for ex-Servicemen and their families.</li><br/>  <li>Help for Heroes – a leading charity that inspires, enables and supports those who have made sacrifices on our behalf to achieve their full potential</li><br/>  <li>The Royal British Legion - the nation’s largest Armed Forces charity, providing care and support to all members of the British Armed Forces past and present and their families.</li><br/>  <li>Soldiers, Sailors, Airman and Families Association (SSAFA) - provides lifelong support to anyone who is currently serving or has ever served in the Royal Navy, British Army or Royal Air Force and their families.</li><br/></ul><br/><br/><p>Announcing the decision to waive VAT on the Tower of London Poppies, the Chancellor George Osborne said:</p><br/><br/><blockquote><br/>  <p>Each one of these Poppies brought from their Derby factory to the Tower of London represents a British soldier who answered the call from their country a century ago and made the ultimate sacrifice.</p><br/><br/>  <p class=""last-child"">Their sacrifice reminds us of the part played throughout recent times by our Armed Forces to preserve our security and freedom, and of the debt we owe them. It is therefore right that we use the fines from those who’ve demonstrated the worst of values to support those who demonstrate the best of values everyday.</p><br/></blockquote><br/><br/><p>The 888,246 fundraising poppies were made by ceramic artist Paul Cummins. Stage designer Tom Piper and Historic Royal Palaces have worked together to install the poppies in the moat of the Tower of London to commemorate British military fatalities during the First World War.</p><br/><br/><p>The Tower Poppies are being sold by Paul Cummins Ceramics Blood Swept Lands and Seas of Red CIC with the support of Historic Royal Palaces.</p><br/><br/><p>All net proceeds plus a guaranteed 10% from every poppy sold will be shared equally amongst six service charities, continuing to support the families of the injured service personnel.</p><br/><br/><p>The government’s donation will be up to £1.1 million equivalent of the expected net sum of the VAT receipts collected on sales.</p><br/><br/><p>The VAT will be refunded in the form of a charitable donation.</p><br/><br/><p>Image by <a rel=""external"" href=""https://www.flickr.com/photos/52784525@N00/14980104622"">nonelvis on Flickr</a>. Used under creative commons.</p><br/></div></p>",
/government/news/x-factor-winners-charity-single-to-be-vat-free-chancellor-announces,Should this be retagged from its current taxon to this suggested one?,"<h2 class='inline'>X-Factor winner's charity single to be VAT free, Chancellor announces</h2><a class='inline' href='https://www.gov.uk/government/news/x-factor-winners-charity-single-to-be-vat-free-chancellor-announces' target='_blank'>Link to page</a><h4>Move from: Money</h4><h4>Move to: <p class='tab'>Money > Business tax</p></h4><a class='tab' target='_blank' href='https://content-tagger.staging.publishing.service.gov.uk/taxons/28262ae3-599c-4259-ae30-3c83a5ec02a1/tagged_content'>Other content tagged to it</a><h4>Currently tagged to</h4><p class='tab'>Money</p><h4>Description</h4><p>Government to waive VAT on sales of the X-Factor winner’s charity single</p><h4>Body</h4><p><div class=""govspeak""><p>The government will effectively waive the VAT due on sales of the X Factor winning contestant’s charity single, the Chancellor of the Exchequer, George Osborne, has announced.</p><br/><br/><p>This will be in the form of a charitable donation made to the nominated charities, Together for Short Lives and Great Ormond Street Hospital Children’s Charity.</p><br/><br/><p>Together for Short Lives supports children with life limiting illnesses, meaning they are unlikely to reach adulthood, as well as support for their families.</p><br/><br/><p>Great Ormond Street Hospital Children’s Charity raises money so that the hospital can continue to provide world class care for sick children as well as providing support for their families.</p><br/><br/><p>In recognition of the support Together for Short Lives provides, the Chancellor wants to boost the donation the charity receives through a charitable donation equivalent to the sum of the VAT receipts collected on sales.</p><br/><br/><p>This year’s X Factor winner will be announced live on the ITV1 show on 15 December with the winning single also released that evening. All net proceeds from sales are going to Together for Short Lives.</p><br/><br/><p>The Chancellor said:</p><br/><br/><blockquote><br/>  <p class=""last-child"">Together for Short Lives and the Great Ormond Street Hospital Children’s Charity provides support to vulnerable children and their families at an important time.</p><br/></blockquote><br/><br/><blockquote><br/>  <p class=""last-child"">I want to make sure these charities really benefit with as much money as possible going to them – that’s why I am giving back the tax paid on sales of the winning single.</p><br/></blockquote><br/><br/><p>Barbara Gelb, Chief Executive, Together for Short Lives said:</p><br/><br/><blockquote><br/>  <p>We wrote to the Chancellor of the Exchequer, George Osborne, urging that the government hand back to us the VAT on the X Factor Winner’s single and we are absolutely delighted that he has said yes.</p><br/><br/>  <p>The 20% on top of sales will be a wonderful boost and will help to support the incredible services like children’s hospices, across the UK, that provide care to children and young people with life-threatening and life-limiting conditions.</p><br/><br/>  <p class=""last-child"">This extra financial boost, on top of The Factor Winner’s single profits, will make a real difference to families across the UK; helping them to make the most of their precious time together.</p><br/></blockquote><br/><br/><p>Tim Johnson, Great Ormond Street Hospital Children’s Charity Chief Executive said:</p><br/><br/><blockquote><br/>  <p>We are incredibly pleased that George Osborne has agreed to give back the tax paid on sales of The X Factor winner’s single. This will mean that even more money will be going towards helping Great Ormond Street Hospital to continue to provide world-class care for its young patients from across the UK.</p><br/><br/>  <p class=""last-child"">This decision sends a powerful message to people to buy this year’s single and give hope to very sick children and their families.</p><br/></blockquote><br/><br/><p>The donation will come from the Department of Health and will be equivalent to the sum of the VAT receipts collected on sales before the end of December 2013.</p><br/><br/><p>Image by ITV.</p><br/></div></p>",
/government/publications/alcohol-and-tobacco-taxation-revenue,Should this be retagged from its current taxon to this suggested one?,"<h2 class='inline'>Alcohol and tobacco taxation revenue</h2><a class='inline' href='https://www.gov.uk/government/publications/alcohol-and-tobacco-taxation-revenue' target='_blank'>Link to page</a><h4>Move from: Money</h4><h4>Move to: <p class='tab'>Money > Tax evasion and avoidance</p></h4><a class='tab' target='_blank' href='https://content-tagger.staging.publishing.service.gov.uk/taxons/35136812-221c-4ba2-8ed1-46e409ca5e10/tagged_content'>Other content tagged to it</a><h4>Currently tagged to</h4><p class='tab'>Money</p><h4>Description</h4><p>The Treasury responds to a request for information on alcohol and tobacco taxation revenue.</p><h4>Body</h4><p><div class=""govspeak""><p>Response to a request for information about alcohol and tobacco taxation revenue.</p><br/></div></p>",
/government/news/boost-for-family-finances-as-easter-getaway-begins,Should this be retagged from its current taxon to this suggested one?,"<h2 class='inline'>Boost for family finances as Easter getaway begins</h2><a class='inline' href='https://www.gov.uk/government/news/boost-for-family-finances-as-easter-getaway-begins' target='_blank'>Link to page</a><h4>Move from: Money</h4><h4>Move to: <p class='tab'>Money > Personal tax</p></h4><a class='tab' target='_blank' href='https://content-tagger.staging.publishing.service.gov.uk/taxons/a5c88a77-03ba-4100-bd33-7ee2ce602dc8/tagged_content'>Other content tagged to it</a><h4>Currently tagged to</h4><p class='tab'>Money</p><h4>Description</h4><p>Children under 16 will join under 12s in no longer having to pay Air Passenger Duty in economy class. </p><h4>Body</h4><p><div class=""govspeak""><br/><p>Families planning an Easter break will get a boost today when the cost of their foreign holidays are slashed as children under 16 will join under 12s in being exempt from paying Air Passenger Duty (<abbr title=""Air Passenger Duty"">APD</abbr>) in economy class.</p><br/><br/><p>This change, which was announced by Chancellor George Osborne in the <a href=""https://www.gov.uk/government/topical-events/autumn-statement-2014"">Autumn Statement 2014</a> and comes into effect from 1 March, would offer a saving of £142 to a family with two children under 16 travelling to long-haul destinations such as Florida, and £26 off a holiday in Europe.</p><br/><br/><p>The change will also act as a boost to international tourism - worth more than £26 billion a year to the UK economy. Foreign visitors will also see the benefit and with people from Australia and the USA being some of the UK’s most popular visitors, it is hoped the potential savings will prove an incentive for even more families from far-flung countries to visit the UK.</p><br/><br/><p>Exchequer Secretary to the Treasury, Damian Hinds said:</p><br/><br/><blockquote><br/>  <p class=""last-child"">This government is pleased to make travel easier and more affordable for working families. Aviation plays a key role in our economy and in the midst of a volatile economic outlook it is crucial we help families where we can. As passengers flying to the UK from abroad will also see the benefit of this exemption I hope it proves an incentive to families abroad to enjoy this country’s own world-leading tourism industry.</p><br/><br/></blockquote><br/><br/><p>Now that the exemption is in force children will receive a reduction in the duty of up to £71 per child.</p><br/><br/><p>Today’s change follows a series of actions by this government to cut the cost of flying. On 1 May 2015, government introduced an exemption for children under 12 and since 2010, <abbr title=""Air Passenger Duty"">APD</abbr> has only risen with inflation, representing an effective price freeze on short-haul rates since 2012.</p><br/><br/><p>Child exemption on economy flights:</p><br/><br/><table><br/>  <thead><br/>    <tr><br/>      <th>Exemption savings</th><br/>      <th>1 child family</th><br/>      <th>2 child family</th><br/>      <th>3 child family</th><br/>    </tr><br/>  </thead><br/>  <tbody><br/>    <tr><br/>      <td>Short-haul flights (e.g. Cyprus)</td><br/>      <td>Saves £13</td><br/>      <td>Saves £26</td><br/>      <td>Saves £39</td><br/>    </tr><br/>    <tr><br/>      <td>Long-haul flights (e.g. Florida)</td><br/>      <td>Saves £71</td><br/>      <td>Saves £142</td><br/>      <td>Saves £213</td><br/>    </tr><br/>  </tbody><br/></table><br/><br/><p>According to the latest ONS Travel Trends statistics, the USA is the third most visited country for UK residents. With average spend per day by Brits continuing to be the highest for trips to North America at £82, the <abbr title=""Air Passenger Duty"">APD</abbr> saving for long-haul flights will effectively pay for almost two days of a two child family’s holiday.</p><br/><br/><p>The top 5 countries visited by UK residents have remained consistent since 2010. Spain continues to top the list in 2014 at 12.2 million visits, a 5.4% increase from 2013. Residents of the USA were the third most popular visitors to the UK, increasing by 7.1% to 3 million.</p><br/><br/><h4 id=""top-10-countries-visited-by-uk-residents-for-at-least-one-night"">Top 10 countries visited by UK residents for at least one night:</h4><br/><br/><figure class=""image embedded""><br/>  <div class=""img""><img alt=""Top ten countries"" src=""https://assets.publishing.service.gov.uk/government/uploads/system/uploads/image_data/file/50267/toptencountries.jpg""></div><br/></figure><br/><br/><p>According to data collected by the Civil Aviation Authority, total passenger numbers grew for the fifth consecutive year in 2015. The UK ranks fifth in the World Economic Forum’s Travel and Tourism Competitiveness Report 2015.</p><br/><br/><p>Average spend per day on all visits abroad continued to rise slowly in 2014 and now stands at £58, up £1 from the £57 per day average in 2013 (ONS Travel Trends 2014).</p><br/><br/><p>Recent reforms to the rates of <abbr title=""Air Passenger Duty"">APD</abbr> include:</p><br/><br/><ul><br/>  <li>Budget 2015 froze band A rates for a fifth year running</li><br/>  <li>Autumn Statement 2014 exempted children on economy flights</li><br/>  <li>Budget 2014 cut rates on the longest-haul flights</li><br/>  <li>In 2015-16, the vast majority of passengers are seeing a freeze or cut in <abbr title=""Air Passenger Duty"">APD</abbr><br/></li><br/></ul><br/></div></p>",
/government/news/ots-looks-to-recruit-senior-policy-advisors,Should this be retagged from its current taxon to this suggested one?,"<h2 class='inline'>OTS looks to recruit senior policy advisors</h2><a class='inline' href='https://www.gov.uk/government/news/ots-looks-to-recruit-senior-policy-advisors' target='_blank'>Link to page</a><h4>Move from: Money</h4><h4>Move to: <p class='tab'>Money > Personal tax</p></h4><a class='tab' target='_blank' href='https://content-tagger.staging.publishing.service.gov.uk/taxons/a5c88a77-03ba-4100-bd33-7ee2ce602dc8/tagged_content'>Other content tagged to it</a><h4>Currently tagged to</h4><p class='tab'>Money</p><h4>Description</h4><p>OTS invites applications for posts</p><h4>Body</h4><p><div class=""govspeak""><p>The OTS is currently recruiting for a number of Senior Policy Advisors through the <a rel=""external"" href=""https://www.civilservicejobs.service.gov.uk/csr/index.cgi"">Civil Service Jobs</a> website. The job is listed and can be searched for under reference <a rel=""external"" href=""https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj1zZWFyY2hieWNvbnRleHRpZCZ1c2Vyc2VhcmNoY29udGV4dD0yMTI2MDM2MSZwYWdlY2xhc3M9Sm9icyZrZXk9NTA3MDAwMCZyZXFzaWc9MTQ2NjU5OTUzOC1lOTY4ODZkNGNmMjI2YzkxYjQ5NTdhNDFhNTdkZWMxMGI5NzE3NWQx"">1498028</a>. If you are interested in applying for one of these posts and would like to discuss further please contact <a href=""mailto:david.halsey@ots.gsi.gov.uk"">David Halsey</a>.</p><br/><br/></div></p>",
/government/news/chancellor-to-waive-vat-on-band-aid-anniversary-single,Should this be retagged from its current taxon to this suggested one?,"<h2 class='inline'>Chancellor to waive VAT on Band Aid anniversary single</h2><a class='inline' href='https://www.gov.uk/government/news/chancellor-to-waive-vat-on-band-aid-anniversary-single' target='_blank'>Link to page</a><h4>Move from: Money</h4><h4>Move to: <p class='tab'>Money > Tax evasion and avoidance</p></h4><a class='tab' target='_blank' href='https://content-tagger.staging.publishing.service.gov.uk/taxons/35136812-221c-4ba2-8ed1-46e409ca5e10/tagged_content'>Other content tagged to it</a><h4>Currently tagged to</h4><p class='tab'>Money</p><h4>Description</h4><p>Chancellor George Osborne has today agreed to waive VAT on sales of the Band Aid anniversary single.</p><h4>Body</h4><p><div class=""govspeak""><p>Chancellor George Osborne has today (15 November 2014) agreed to waive VAT on sales of the Band Aid anniversary single.</p><br/><br/><p>Bob Geldof is re-recording the single to mark the 30th anniversary of the original release in 1984. Proceeds from the single will go towards the fight against Ebola.</p><br/><br/><p>George Osborne said:</p><br/><br/><blockquote><br/>  <p class=""last-child"">I spoke to Bob Geldof this morning and I confirmed that we would waive VAT on the Band Aid anniversary single.</p><br/></blockquote><br/><br/><blockquote><br/>  <p class=""last-child"">It’s fantastic that he’s got so many musicians together again to help fight Ebola – and I wanted to make sure every penny raised goes to combat this terrible disease.</p><br/></blockquote><br/><br/><blockquote><br/>  <p class=""last-child"">Whether it’s the British public or their government, we are united in helping lead the world efforts against Ebola.</p><br/></blockquote><br/><br/><p>International Development Secretary Justine Greening said:</p><br/><br/><blockquote><br/>  <p class=""last-child"">We are waiving VAT on the new Band Aid single to make sure people’s donations go even further as we fight to contain and control this terrible disease.</p><br/></blockquote><br/><br/><blockquote><br/>  <p class=""last-child"">The UK’s £230 million Ebola response is already saving lives in Sierra Leone. Every Band Aid single sold will help provide more treatment and care in West Africa.</p><br/></blockquote><br/><br/><h3 id=""further-information"">Further information</h3><br/><br/><p>The UK is leading the international response to the Ebola crisis in Sierra Leone.</p><br/><br/><p>Britain has committed £230 million to contain and control the disease by diagnosing and isolating Ebola cases more quickly, trebling the number of treatment beds, supporting burial teams, researching a vaccine and providing vital supplies such as chlorine and protective clothing for thousands of health workers.</p><br/><br/><p>Halting the disease in West Africa is the best way of preventing Ebola infecting people in the UK.</p><br/><br/><div class=""call-to-action""><br/><p><a href=""https://www.gov.uk/government/topical-events/ebola-virus-government-response"">Find out more about the UK response to the Ebola crisis.</a></p><br/></div><br/></div></p>",
/government/news/the-story-of-your-boxing-day-boxset-record-tax-relief-for-big-budget-tv,Should this be retagged from its current taxon to this suggested one?,"<h2 class='inline'>The story of your Boxing Day boxset: record tax relief for big budget TV</h2><a class='inline' href='https://www.gov.uk/government/news/the-story-of-your-boxing-day-boxset-record-tax-relief-for-big-budget-tv' target='_blank'>Link to page</a><h4>Move from: Money</h4><h4>Move to: <p class='tab'>Money > Business tax > Business tax reform</p></h4><a class='tab' target='_blank' href='https://content-tagger.staging.publishing.service.gov.uk/taxons/12be2e2c-505b-412d-bff1-ba301465c116/tagged_content'>Other content tagged to it</a><h4>Currently tagged to</h4><p class='tab'>Money</p><h4>Description</h4><p>Since tax relief for big budget TV shows came into effect in 2013, shows such as Game of Thrones and Downton Abbey have been able to claim. </p><h4>Body</h4><p><div class=""govspeak""><p>The Chancellor today (Saturday 26 December) welcomed record support for UK made TV productions as he announced the success of the government’s first two years of High-End TV tax relief.</p><br/><br/><p>Doubling the previous year’s total, <a href=""https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/487448/Creatives_Statistics__-_Additional_Tables_HETV_2_1b_and_2_3-2_6_Dec_2015.pdf"">new statistics published by the government</a> show that 50 new television productions in the UK were supported by High-End TV tax relief in 2014 to 2015.</p><br/><br/><p>Since the relief was introduced in 2013 the government has contributed a total of nearly £92 million to 90 British big-budget television programmes.</p><br/><br/><p>Over £820 million has been invested into Britain’s creative economy since 2013 by high-end TV production companies that could qualify for the relief.</p><br/><br/><p>To ensure the UK remains competitive on the world stage for TV production, in 2013 the government began providing the same support it offers film production to high-end TV.</p><br/><br/><p>Since then many of the nation’s favourite big budget TV shows, such as Game of Thrones, Outlander and Downton Abbey have been able to claim tax relief.</p><br/><br/><p>Chancellor George Osborne said:</p><br/><br/><blockquote><br/>  <p>The UK is the world leader in producing high quality, original television content. As many of us settle in for some television this Boxing Day, I’m delighted that many of the programmes we watch will be made in Britain.</p><br/><br/>  <p>Through our tax relief the government has been able to support the TV industry meaning record investment and a booming creative sector jobs market across the country.</p><br/><br/>  <p class=""last-child"">With many British shows being nominated for international awards and more commissioned, the future of British television is bright this Christmas.</p><br/></blockquote><br/><br/><p>The UK television industry is one of the global leaders for on-screen talent, screenwriting, crew and infrastructure and location filming.</p><br/><br/><p>In addition, original UK programme formats including The Office, Shameless and Being Human have been exported, remade and broadcast in other countries.</p><br/><br/><p>This year the UK’s top three exported boxsets to China were Sherlock, Downtown Abbey and Black Mirror, whilst Game of Thrones, Da Vinci’s Demons and Outlander had major economic impacts in their regional filming locations.</p><br/><br/><p>To qualify for High-End TV Tax relief a production must:</p><br/><br/><ul><br/>  <li>pass the cultural test</li><br/>  <li>be a drama, comedy or documentary</li><br/>  <li>have at least 25% of the total production costs relating to activities in the UK</li><br/>  <li>spend more than £1 million on production costs per hour</li><br/>  <li>be longer than 30 minutes</li><br/></ul><br/><br/><div class=""call-to-action""><br/><p>Access a list of <a rel=""external"" href=""https://www.bfi.org.uk/sites/bfi.org.uk/files/downloads/bfi-high-end-television-productions-certified-british-through-high-end-television-cultural-test-2015-11.xls"">other High End TV shows that have been certified though the Cultural test</a>.</p><br/></div><br/><br/><h3 id=""history-of-the-boxset"">History of the Boxset</h3><br/><br/><p>Late 90s - The golden age of US drama – The Sopranos (1999), The Wire (2002), West Wing (1999)</p><br/><br/><p>Mid 00s -The American Boxset imports, because shows were not widely available in the UK, Breaking Bad (2008) Mad Men (2007)</p><br/><br/><p>2010s – Rise of British international success – Sherlock (2010), Downtown Abbey (2010), Black Mirror (2011)</p><br/><br/><p>2011 - Game of Thrones Season 1 begins</p><br/><br/><p>2012 - High-End TV Relief announced</p><br/><br/><p>2013 – High-End TV tax relief begins 1 April</p><br/><br/><p>2014 – Scotland saw a record £45.2 million spent on production</p><br/><br/><p>2015 - Game of Thrones Season 6 shoot in Northern Ireland</p><br/><br/><p>2015 - Outlander Season 2 begins filming in Scotland through inward investment</p><br/><br/><p>2015 - Amazon Prime’s first UK original drama, an eight-part series produced by Lookout Point called The Collection, to be made in Wales and France with BBC Worldwide and Pinewood Pictures. Netflix recently acquired Charlie Brooker’s Black Mirror for a 3rd Season</p><br/><br/><p>2015 - British Production Company, Bad Wolf, established by former BBC execs Jane Tranter and Julie Gardner, partner with HBO and announce TV adaptation of His Dark Materials, a co-production with New Line Cinema to shoot in Wales</p><br/><br/></div></p>",
/government/statistics/announcements/creative-industries-statistics,Should this be retagged from its current taxon to this suggested one?,"<h2 class='inline'>Creative Industries Statistics</h2><a class='inline' href='https://www.gov.uk/government/statistics/announcements/creative-industries-statistics' target='_blank'>Link to page</a><h4>Move from: Money</h4><h4>Move to: <p class='tab'>Money > Business tax</p></h4><a class='tab' target='_blank' href='https://content-tagger.staging.publishing.service.gov.uk/taxons/28262ae3-599c-4259-ae30-3c83a5ec02a1/tagged_content'>Other content tagged to it</a><h4>Currently tagged to</h4><p class='tab'>Money</p><h4>Description</h4><p>Official Statistics on the number of tax credits claims and the amount paid for Film, High-end Television and Animation Tax Relief.</p><h4>Body</h4><p></p>",
/government/news/government-to-donate-vat-on-x-factor-charity-single,Should this be retagged from its current taxon to this suggested one?,"<h2 class='inline'>Government to donate VAT on X Factor charity single</h2><a class='inline' href='https://www.gov.uk/government/news/government-to-donate-vat-on-x-factor-charity-single' target='_blank'>Link to page</a><h4>Move from: Money</h4><h4>Move to: <p class='tab'>Money > Business tax</p></h4><a class='tab' target='_blank' href='https://content-tagger.staging.publishing.service.gov.uk/taxons/28262ae3-599c-4259-ae30-3c83a5ec02a1/tagged_content'>Other content tagged to it</a><h4>Currently tagged to</h4><p class='tab'>Money</p><h4>Description</h4><p>Profits from sales of the single will be donated to two children’s charities, Together for Short Lives and Shooting Star Chase. </p><h4>Body</h4><p><div class=""govspeak""><p>Chancellor of the Exchequer, George Osborne, has announced that the government will donate VAT on sales of the X Factor winner’s charity single.</p><br/><br/><p>Profits from sales of the single will be donated to two children’s charities, Together for Short Lives and Shooting Star Chase.</p><br/><br/><p>In recognition of the support both charities provide through their work with children with life-limiting illnesses and the wide-ranging support given to their families, the government will make a charitable donation to the charities, equivalent to the VAT payable on the sales of the single.</p><br/><br/><p>The government has previously waived the VAT on the Save the Children single, Band Aid Ebola single, 2011’s Military Wives Choir single, and the 2010 Haiti earthquake appeal single.</p><br/><br/><p>George Osborne, Chancellor of the Exchequer, said:</p><br/><br/><blockquote><br/>  <p>It is great news that Together for Short Lives and Shooting Star Chase Children’s Hospice are to benefit from the proceeds of this year’s X Factor winner’s single.</p><br/><br/>  <p>I am a great admirer of the tremendous work that these charities do to support children with life-threatening and life-limiting medical conditions, and those who love and care for them.</p><br/><br/>  <p>I am very happy to announce that the government will refund all VAT on sales of the single.</p><br/><br/>  <p>I urge people go out and buy it in great numbers this Christmas so that as much money as possible is raised to support the charities’ work.</p><br/><br/>  <p class=""last-child"">I hope it will help those families who are going through unimaginably difficult times, at a time of year that must be particularly difficult for them.</p><br/></blockquote><br/></div></p>",
